atm_txn_id,customer_id,account_id,amount,status,type,date,branch,remarks,flag
AT313,C1312,A2312,39044.16,INACTIVE,CURRENT,2021-06-01,B8,OK,Y
AT314,C1313,A2313,42819.59,PENDING,SAVINGS,2022-07-15,B4,OK,Y
AT315,C1314,A2314,397.98,PENDING,LOAN,2022-09-22,B2,OK,N
AT316,C1315,A2315,26643.09,INACTIVE,LOAN,2020-04-02,B18,OK,N
AT317,C1316,A2316,40358.15,ACTIVE,CURRENT,2023-05-11,B7,OK,N
AT318,C1317,A2317,12338.86,INACTIVE,SAVINGS,2023-04-19,B10,OK,Y
AT319,C1318,A2318,33757.17,INACTIVE,LOAN,2024-07-22,B20,OK,N
AT320,C1319,A2319,9102.81,PENDING,LOAN,2022-08-13,B11,OK,Y
AT321,C1320,A2320,,ACTIVE,LOAN,2025-04-11,B11,OK,N
AT322,C1321,A2321,8149.75,PENDING,CURRENT,2021-07-04,B4,OK,Y
AT323,C1322,A2322,26985.8,INACTIVE,SAVINGS,2022-03-04,B3,OK,N
AT324,C1323,A2323,16551.61,ACTIVE,LOAN,2023-11-10,B10,OK,N
AT325,C1324,A2324,2183.01,INACTIVE,CURRENT,2020-12-17,B5,OK,Y
AT326,C1325,A2325,32340.13,INACTIVE,SAVINGS,2024-08-02,B14,,Y
AT327,C1326,A2326,28994.41,ACTIVE,LOAN,2021-04-22,B5,OK,N
AT328,C1327,A2327,16134.0,PENDING,LOAN,2022-09-12,B18,OK,N
AT329,C1328,A2328,7008.27,PENDING,SAVINGS,2020-12-20,B4,OK,N
AT330,C1329,A2329,3460.54,PENDING,SAVINGS,2022-09-11,B7,OK,N
AT331,C1330,A2330,24815.52,INACTIVE,SAVINGS,2020-04-12,B7,OK,N
AT332,C1331,A2331,27150.53,PENDING,LOAN,2020-05-05,B18,OK,N
AT333,C1332,A2332,17439.93,INACTIVE,CURRENT,2023-05-06,B12,OK,Y
AT334,C1333,A2333,27087.61,ACTIVE,LOAN,2022-02-23,B1,OK,N
AT335,C1334,A2334,16511.2,PENDING,SAVINGS,2025-04-16,B12,OK,Y
AT336,C1335,A2335,40297.71,PENDING,LOAN,2023-07-03,B8,OK,N
AT337,C1336,A2336,4406.73,PENDING,SAVINGS,2024-03-05,B2,OK,Y
AT338,C1337,A2337,6530.81,ACTIVE,SAVINGS,2024-08-12,B14,OK,Y
AT339,C1338,A2338,27256.3,INACTIVE,SAVINGS,2022-07-18,B18,OK,Y
AT340,C1339,A2339,26081.36,PENDING,CURRENT,2023-02-02,B6,OK,N
AT341,C1340,A2340,18540.72,INACTIVE,SAVINGS,2021-11-17,B7,OK,N
AT342,C1341,A2341,3329.07,PENDING,CURRENT,2024-10-22,B15,OK,Y
AT343,C1342,A2342,4399.57,INACTIVE,SAVINGS,2023-08-13,B5,OK,Y
AT344,C1343,A2343,11829.89,INACTIVE,CURRENT,2023-02-15,B7,OK,N
AT345,C1344,A2344,1770.4,INACTIVE,CURRENT,2023-01-15,B3,OK,N
AT346,C1345,A2345,19487.55,ACTIVE,CURRENT,2023-03-06,B17,OK,Y
AT347,C1346,A2346,16258.22,ACTIVE,SAVINGS,2020-11-20,B8,OK,N
AT348,C1347,A2347,24313.64,ACTIVE,LOAN,2024-06-16,B18,OK,N
AT349,C1348,A2348,41651.14,PENDING,CURRENT,2022-12-14,B9,OK,Y
AT350,C1349,A2349,13782.9,INACTIVE,CURRENT,2021-07-07,B9,OK,N
AT351,C1350,A2350,3284.97,INACTIVE,SAVINGS,2021-02-21,B4,,Y
AT352,C1351,A2351,26766.06,ACTIVE,SAVINGS,2021-04-21,B8,OK,N
AT353,C1352,A2352,23769.77,INACTIVE,SAVINGS,2023-12-28,B4,OK,Y
AT354,C1353,A2353,43227.36,INACTIVE,LOAN,2020-10-28,B3,OK,N
AT355,C1354,A2354,11510.52,PENDING,SAVINGS,2020-01-21,B1,OK,N
AT356,C1355,A2355,39426.49,ACTIVE,SAVINGS,2022-08-12,B8,OK,Y
AT357,C1356,A2356,2259.34,ACTIVE,CURRENT,2024-05-19,B14,OK,N
AT358,C1357,A2357,5458.72,ACTIVE,LOAN,2020-01-17,B7,OK,N
AT359,C1358,A2358,11808.96,PENDING,CURRENT,2021-04-25,B18,OK,N
AT360,C1359,A2359,43297.44,PENDING,CURRENT,2020-06-05,B5,OK,Y
AT361,C1360,A2360,,INACTIVE,LOAN,2021-12-17,B14,OK,N
AT362,C1361,A2361,28032.51,INACTIVE,SAVINGS,2024-09-15,B11,OK,Y
AT363,C1362,A2362,12803.76,ACTIVE,CURRENT,2022-06-08,B5,OK,N
AT364,C1363,A2363,3515.25,INACTIVE,SAVINGS,2025-04-06,B8,OK,N
AT365,C1364,A2364,25598.96,INACTIVE,SAVINGS,2021-10-17,B8,OK,Y
AT366,C1365,A2365,23799.01,PENDING,CURRENT,2021-01-07,B8,OK,Y
AT367,C1366,A2366,32819.8,PENDING,CURRENT,2020-02-14,B18,OK,Y
AT368,C1367,A2367,31457.89,PENDING,SAVINGS,2023-08-08,B16,OK,Y
AT369,C1368,A2368,46163.32,PENDING,CURRENT,2023-10-02,B4,OK,N
AT370,C1369,A2369,16079.16,INACTIVE,CURRENT,2024-05-23,B4,OK,Y
AT371,C1370,A2370,11927.46,PENDING,SAVINGS,2020-03-17,B9,OK,N
AT372,C1371,A2371,40789.49,INACTIVE,LOAN,2025-03-30,B14,OK,N
AT373,C1372,A2372,138.97,PENDING,SAVINGS,2023-12-26,B14,OK,Y
AT374,C1373,A2373,34527.6,ACTIVE,LOAN,2022-12-06,B2,OK,Y
AT375,C1374,A2374,4617.09,PENDING,SAVINGS,2024-03-22,B11,OK,Y
AT376,C1375,A2375,11806.44,ACTIVE,SAVINGS,2023-12-17,B6,,N
AT377,C1376,A2376,8581.67,ACTIVE,CURRENT,2024-03-19,B10,OK,N
AT378,C1377,A2377,33142.69,ACTIVE,CURRENT,2023-12-25,B9,OK,Y
AT379,C1378,A2378,34756.93,PENDING,LOAN,2023-05-02,B4,OK,Y
AT380,C1379,A2379,30034.49,ACTIVE,LOAN,2022-06-23,B6,OK,N
AT381,C1380,A2380,11425.62,PENDING,CURRENT,2024-11-28,B7,OK,N
AT382,C1381,A2381,30204.39,PENDING,CURRENT,2021-10-14,B4,OK,Y
AT383,C1382,A2382,3757.12,PENDING,SAVINGS,2022-06-01,B2,OK,N
AT384,C1383,A2383,4396.05,ACTIVE,CURRENT,2020-09-23,B17,OK,Y
AT385,C1384,A2384,32343.42,INACTIVE,SAVINGS,2023-11-29,B5,OK,Y
AT386,C1385,A2385,27127.1,INACTIVE,SAVINGS,2023-03-03,B18,OK,Y
AT387,C1386,A2386,1724.93,INACTIVE,SAVINGS,2025-04-21,B2,OK,Y
AT388,C1387,A2387,47821.46,ACTIVE,CURRENT,2021-03-22,B10,OK,Y
AT389,C1388,A2388,33129.42,PENDING,SAVINGS,2023-03-30,B5,OK,N
AT390,C1389,A2389,47484.35,INACTIVE,LOAN,2025-01-10,B5,OK,Y
AT391,C1390,A2390,700.61,PENDING,CURRENT,2021-10-29,B8,OK,Y
AT392,C1391,A2391,30453.9,PENDING,SAVINGS,2022-02-12,B15,OK,N
AT393,C1392,A2392,35327.84,ACTIVE,CURRENT,2021-09-25,B15,OK,N
AT394,C1393,A2393,35068.84,ACTIVE,CURRENT,2024-12-07,B10,OK,Y
AT395,C1394,A2394,23082.23,PENDING,SAVINGS,2021-02-13,B20,OK,Y
AT396,C1395,A2395,9345.66,PENDING,LOAN,2020-03-13,B18,OK,Y
AT397,C1396,A2396,20319.52,INACTIVE,CURRENT,2022-04-08,B19,OK,N
AT398,C1397,A2397,15991.1,ACTIVE,SAVINGS,2021-04-13,B16,OK,Y
AT399,C1398,A2398,6546.59,PENDING,LOAN,2020-12-02,B9,OK,N
AT400,C1399,A2399,38055.2,INACTIVE,SAVINGS,2022-10-16,B7,OK,N
AT401,C1400,A2400,,INACTIVE,LOAN,2022-10-11,B13,,Y
AT402,C1401,A2401,7514.44,INACTIVE,LOAN,2020-06-18,B1,OK,N
AT403,C1402,A2402,18772.21,ACTIVE,LOAN,2021-08-19,B13,OK,Y
AT404,C1403,A2403,27669.88,INACTIVE,LOAN,2024-01-19,B5,OK,Y
AT405,C1404,A2404,44022.92,INACTIVE,LOAN,2025-03-27,B20,OK,N
AT406,C1405,A2405,27253.31,INACTIVE,SAVINGS,2022-03-29,B17,OK,N
AT407,C1406,A2406,31017.91,INACTIVE,CURRENT,2025-05-01,B17,OK,Y
AT408,C1407,A2407,35535.96,INACTIVE,CURRENT,2021-12-04,B10,OK,Y
AT409,C1408,A2408,8152.76,INACTIVE,LOAN,2021-01-18,B20,OK,Y
AT410,C1409,A2409,19985.21,PENDING,SAVINGS,2024-04-19,B1,OK,Y
AT411,C1410,A2410,22367.12,PENDING,LOAN,2020-07-07,B8,OK,Y
AT412,C1411,A2411,44249.17,INACTIVE,LOAN,2020-04-06,B4,OK,Y
AT413,C1412,A2412,24834.86,PENDING,LOAN,2025-04-26,B11,OK,N
AT414,C1413,A2413,30374.04,ACTIVE,LOAN,2020-05-05,B20,OK,Y
AT415,C1414,A2414,36147.36,PENDING,SAVINGS,2021-03-01,B12,OK,N
AT416,C1415,A2415,28878.92,INACTIVE,LOAN,2022-02-09,B6,OK,Y
AT417,C1416,A2416,30944.64,INACTIVE,LOAN,2022-02-10,B11,OK,Y
AT418,C1417,A2417,25669.84,ACTIVE,CURRENT,2024-10-14,B17,OK,Y
AT419,C1418,A2418,12515.24,ACTIVE,CURRENT,2024-07-14,B20,OK,N
AT420,C1419,A2419,32171.6,PENDING,LOAN,2025-05-21,B7,OK,N
AT421,C1420,A2420,25829.24,ACTIVE,SAVINGS,2022-06-16,B12,OK,N
AT422,C1421,A2421,3902.87,INACTIVE,SAVINGS,2021-10-27,B12,OK,N
AT423,C1422,A2422,19514.2,INACTIVE,LOAN,2021-11-09,B16,OK,N
AT424,C1423,A2423,35478.25,PENDING,CURRENT,2022-02-10,B17,OK,Y
AT425,C1424,A2424,30215.82,ACTIVE,CURRENT,2021-08-18,B20,OK,N
AT426,C1425,A2425,39872.21,ACTIVE,CURRENT,2024-12-12,B11,,Y
AT427,C1426,A2426,7236.32,ACTIVE,SAVINGS,2025-06-05,B9,OK,N
AT428,C1427,A2427,24104.12,INACTIVE,SAVINGS,2022-08-13,B9,OK,N
AT429,C1428,A2428,15834.7,INACTIVE,SAVINGS,2022-07-15,B11,OK,N
AT430,C1429,A2429,26490.17,ACTIVE,LOAN,2024-12-10,B3,OK,N
AT431,C1430,A2430,49170.83,INACTIVE,CURRENT,2020-01-06,B18,OK,N
AT432,C1431,A2431,21262.34,PENDING,CURRENT,2024-01-13,B7,OK,N
AT433,C1432,A2432,25359.66,PENDING,SAVINGS,2021-12-12,B9,OK,N
AT434,C1433,A2433,8000.38,PENDING,CURRENT,2022-11-17,B13,OK,N
AT435,C1434,A2434,36624.52,ACTIVE,LOAN,2024-06-09,B5,OK,N
AT436,C1435,A2435,2035.16,PENDING,SAVINGS,2025-04-08,B13,OK,N
AT437,C1436,A2436,47597.94,ACTIVE,CURRENT,2024-01-31,B14,OK,N
AT438,C1437,A2437,20289.99,PENDING,LOAN,2023-07-16,B9,OK,N
AT439,C1438,A2438,15064.94,PENDING,SAVINGS,2022-07-05,B6,OK,Y
AT440,C1439,A2439,37979.46,ACTIVE,CURRENT,2021-01-04,B18,OK,Y
AT441,C1440,A2440,,PENDING,CURRENT,2023-04-27,B2,OK,N
AT442,C1441,A2441,15301.29,PENDING,LOAN,2023-05-04,B9,OK,Y
AT443,C1442,A2442,21539.31,PENDING,SAVINGS,2020-09-26,B11,OK,N
AT444,C1443,A2443,29055.89,ACTIVE,SAVINGS,2023-10-28,B4,OK,N
AT445,C1444,A2444,46054.8,PENDING,LOAN,2020-04-18,B10,OK,N
AT446,C1445,A2445,6755.13,ACTIVE,LOAN,2021-09-09,B13,OK,Y
AT447,C1446,A2446,24923.71,PENDING,CURRENT,2025-06-13,B2,OK,N
AT448,C1447,A2447,25743.79,PENDING,LOAN,2024-05-18,B11,OK,Y
AT449,C1448,A2448,29348.54,PENDING,CURRENT,2021-10-19,B17,OK,N
AT450,C1449,A2449,22929.48,PENDING,LOAN,2021-08-25,B5,OK,Y
AT451,C1450,A2450,45772.09,INACTIVE,CURRENT,2023-12-26,B6,,Y
AT452,C1451,A2451,3404.45,INACTIVE,SAVINGS,2022-07-17,B13,OK,N
AT453,C1452,A2452,41712.68,PENDING,SAVINGS,2023-06-11,B11,OK,N
AT454,C1453,A2453,19362.39,ACTIVE,SAVINGS,2020-12-22,B18,OK,Y
AT455,C1454,A2454,27090.04,ACTIVE,SAVINGS,2021-08-01,B7,OK,Y
AT456,C1455,A2455,6049.87,ACTIVE,LOAN,2021-01-18,B11,OK,N
AT457,C1456,A2456,33917.94,ACTIVE,LOAN,2022-11-14,B2,OK,Y
AT458,C1457,A2457,26662.45,ACTIVE,LOAN,2020-09-06,B17,OK,N
AT459,C1458,A2458,47266.38,ACTIVE,LOAN,2023-02-13,B8,OK,Y
AT460,C1459,A2459,28075.09,INACTIVE,LOAN,2022-09-01,B18,OK,Y
AT461,C1460,A2460,7089.59,PENDING,SAVINGS,2020-02-08,B11,OK,Y
AT462,C1461,A2461,38154.27,PENDING,CURRENT,2024-08-01,B5,OK,Y
AT463,C1462,A2462,1711.14,PENDING,SAVINGS,2020-11-02,B4,OK,Y
AT464,C1463,A2463,6491.27,PENDING,CURRENT,2021-12-25,B11,OK,Y
AT465,C1464,A2464,1480.09,INACTIVE,CURRENT,2025-02-13,B13,OK,Y
AT466,C1465,A2465,9075.69,PENDING,SAVINGS,2024-03-14,B3,OK,Y
AT467,C1466,A2466,40392.54,PENDING,LOAN,2020-07-30,B15,OK,Y
AT468,C1467,A2467,47252.83,PENDING,CURRENT,2024-10-28,B19,OK,Y
AT469,C1468,A2468,9340.66,PENDING,CURRENT,2025-01-20,B15,OK,Y
AT470,C1469,A2469,41990.65,PENDING,LOAN,2023-11-18,B8,OK,N
AT471,C1470,A2470,40196.78,PENDING,SAVINGS,2020-02-21,B11,OK,Y
AT472,C1471,A2471,13158.2,PENDING,LOAN,2022-03-05,B4,OK,N
AT473,C1472,A2472,46132.36,PENDING,SAVINGS,2023-12-18,B4,OK,Y
AT474,C1473,A2473,4026.71,ACTIVE,LOAN,2022-11-07,B4,OK,N
AT475,C1474,A2474,28598.05,ACTIVE,LOAN,2022-11-13,B20,OK,N
AT476,C1475,A2475,32795.27,ACTIVE,LOAN,2021-05-21,B16,,N
AT477,C1476,A2476,24243.32,INACTIVE,CURRENT,2021-10-01,B18,OK,Y
AT478,C1477,A2477,17154.03,PENDING,SAVINGS,2020-11-17,B13,OK,N
AT479,C1478,A2478,29676.02,INACTIVE,LOAN,2024-03-28,B14,OK,Y
AT480,C1479,A2479,40201.2,ACTIVE,CURRENT,2021-03-13,B10,OK,N
AT481,C1480,A2480,,PENDING,LOAN,2020-01-06,B14,OK,Y
AT482,C1481,A2481,19119.1,PENDING,LOAN,2020-10-04,B17,OK,N
AT483,C1482,A2482,19620.19,ACTIVE,LOAN,2025-01-14,B10,OK,Y
AT484,C1483,A2483,16150.39,INACTIVE,CURRENT,2023-01-14,B20,OK,Y
AT485,C1484,A2484,36298.54,INACTIVE,LOAN,2020-06-05,B1,OK,Y
AT486,C1485,A2485,9382.5,INACTIVE,CURRENT,2022-02-14,B13,OK,Y
AT487,C1486,A2486,48899.56,ACTIVE,LOAN,2023-03-03,B14,OK,Y
AT488,C1487,A2487,48793.3,PENDING,LOAN,2021-10-12,B8,OK,Y
AT489,C1488,A2488,35602.1,INACTIVE,CURRENT,2023-12-26,B6,OK,N
AT490,C1489,A2489,33655.9,PENDING,SAVINGS,2024-06-05,B14,OK,Y
AT491,C1490,A2490,31843.91,ACTIVE,CURRENT,2024-10-17,B4,OK,N
AT492,C1491,A2491,45451.66,ACTIVE,SAVINGS,2022-05-15,B18,OK,Y
AT493,C1492,A2492,5908.89,ACTIVE,SAVINGS,2021-03-07,B12,OK,Y
AT494,C1493,A2493,4366.97,PENDING,SAVINGS,2023-08-13,B5,OK,Y
AT495,C1494,A2494,39986.17,INACTIVE,SAVINGS,2021-06-22,B6,OK,N
AT496,C1495,A2495,1841.07,ACTIVE,CURRENT,2023-01-03,B4,OK,N
AT497,C1496,A2496,4442.81,ACTIVE,LOAN,2024-10-24,B19,OK,N
AT498,C1497,A2497,8015.88,INACTIVE,CURRENT,2020-12-17,B3,OK,Y
AT499,C1498,A2498,49577.36,INACTIVE,SAVINGS,2024-02-20,B7,OK,N
AT500,C1499,A2499,27917.62,ACTIVE,CURRENT,2023-12-17,B17,OK,N
